month,count
##2015,11,178 so far
2015-10-01,234
2015-09-01,174
2015-08-01,175
2015-07-01,163
2015-06-01,133
2015-05-01,108
2015-04-01,124
2015-03-01,118
2015-02-01,88
2015-01-01,102
2014-12-01,91
2014-11-01,76
2014-10-01,85
2014-09-01,82
2014-08-01,82
2014-07-01,60
2014-06-01,75
2014-05-01,62
2014-04-01,55
2014-03-01,47
2014-02-01,52
2014-01-01,47
2013-12-01,38
2013-11-01,39

